VehicleId,DepotId,InitialLoad,RouteSequence,ClientsServed,DemandsSatisfied,TotalDistance,TotalTime,FuelCost,TotalCost
V001,CD01,29,CD01-C086-C087-CD01,2,19-10,48.636,1.621,22650.58,206562.3
V002,CD01,24,CD01-C027-C074-CD01,2,12-12,46.166,1.539,21500.16,198610.51
V003,CD01,27,CD01-C002-C065-CD01,2,15-12,55.285,1.843,25747.19,227966.29
V004,CD01,24,CD01-C015-C079-CD01,2,12-12,40.102,1.337,18675.91,179089.09
V005,CD01,24,CD01-C078-C082-CD01,2,12-12,28.671,0.956,13352.71,142294.83
V006,CD01,24,CD01-C012-C081-CD01,2,12-12,31.553,1.052,14694.78,151571.31
V007,CD01,24,CD01-C053-C073-CD01,2,12-12,45.924,1.531,21387.31,197830.51
V008,CD01,24,CD01-C044-C014-CD01,2,12-12,28.694,0.956,13363.18,142367.15
V009,CD01,24,CD01-C047-C061-CD01,2,12-12,28.061,0.935,13068.59,140330.93
V010,CD01,29,CD01-C007-C054-C013-CD01,3,9-12-8,48.705,1.624,22682.63,206783.8
V011,CD01,24,CD01-C049-C063-CD01,2,12-12,30.014,1.0,13978.11,146617.64
V012,CD01,29,CD01-C067-C006-CD01,2,18-11,30.736,1.025,14314.15,148940.34
V013,CD01,29,CD01-C038-C080-C037-CD01,3,12-5-12,41.109,1.37,19145.04,182331.75
V014,CD01,24,CD01-C045-C064-CD01,2,12-12,36.261,1.209,16887.3,166726.11
V015,CD01,23,CD01-C089-CD01,1,23,40.53,1.351,18875.38,180467.9
V016,CD01,25,CD01-C066-C026-CD01,2,12-13,35.702,1.19,16626.81,164925.58
V017,CD01,29,CD01-C020-C057-C008-CD01,3,12-9-8,55.434,1.848,25816.52,228445.48
V018,CD01,24,CD01-C048-C018-CD01,2,12-12,33.18,1.106,15452.43,156808.2
V019,CD01,24,CD01-C070-C017-CD01,2,12-12,41.562,1.385,19355.79,183788.49
V020,CD01,24,CD01-C084-C068-CD01,2,12-12,44.783,1.493,20855.9,194157.38
V021,CD01,24,CD01-C085-C069-CD01,2,12-12,32.245,1.075,15016.79,153797.05
V022,CD01,24,CD01-C036-C025-CD01,2,12-12,49.698,1.657,23144.87,209978.86
V023,CD01,23,CD01-C011-C077-CD01,2,11-12,41.302,1.377,19234.87,182952.66
V024,CD01,24,CD01-C056-C072-CD01,2,12-12,39.63,1.321,18456.47,177572.32
V025,CD01,24,CD01-C041-C052-CD01,2,12-12,52.326,1.744,24369.03,218440.32
V026,CD01,23,CD01-C031-C023-CD01,2,11-12,56.27,1.876,26205.81,231136.3
V027,CD01,26,CD01-C035-C005-CD01,2,12-14,51.472,1.716,23971.42,215692.03
V028,CD01,22,CD01-C090-C009-CD01,2,12-10,27.832,0.928,12961.53,139590.96
V029,CD01,24,CD01-C022-C059-CD01,2,12-12,37.757,1.259,17584.2,171543.11
V030,CD01,24,CD01-C029-C075-CD01,2,12-12,22.022,0.734,10255.79,120888.71
V031,CD01,28,CD01-C003-C088-CD01,2,16-12,39.928,1.331,18594.91,178529.25
V032,CD01,24,CD01-C024-C060-CD01,2,12-12,44.785,1.493,20857.05,194165.27
V033,CD01,24,CD01-C042-C032-CD01,2,12-12,31.604,1.053,14718.26,151733.57
V034,CD01,24,CD01-C043-C030-CD01,2,12-12,29.969,0.999,13957.15,146472.73
V035,CD01,22,CD01-C004-CD01,1,22,26.463,0.882,12324.02,135184.41
V036,CD01,24,CD01-C046-C051-CD01,2,12-12,36.302,1.21,16906.32,166857.58
V037,CD01,24,CD01-C083-C028-CD01,2,12-12,43.511,1.45,20263.47,190062.46
V038,CD01,24,CD01-C076-C040-CD01,2,12-12,41.964,1.399,19543.15,185083.54
V039,CD01,24,CD01-C033-C058-CD01,2,12-12,43.853,1.462,20423.16,191166.22
V040,CD01,24,CD01-C019-C016-CD01,2,12-12,33.378,1.113,15544.8,157446.69
V041,CD01,28,CD01-C021-C001-CD01,2,15-13,20.532,0.684,9561.83,116092.01
V042,CD01,25,CD01-C010-CD01,1,25,26.74,0.891,12453.43,136078.92
V043,CD01,24,CD01-C055-C050-CD01,2,12-12,29.087,0.97,13546.2,143632.24
V044,CD01,24,CD01-C062-C034-CD01,2,12-12,33.399,1.113,15554.56,157514.14
V045,CD01,24,CD01-C071-C039-CD01,2,12-12,28.23,0.941,13146.95,140872.6
